name,position,club,division,based_in,division_tier,tier_quality,date_of_birth,age_(days)_on_1_july_2023,age_(months)_on_1_july_2023,age_(years)_on_1_july_2023,birth_city,birth_postcode,nation_of_birth,birth_region,nationality,2nd_nationality,height_(ft_in),height_(ft),height_(in),height_(cm),weight_(kg),goals,appearances,is_top_4
Owen Lunt,"DM, M (C)",Crewe,English Football League 2,ENG,,#N/A,20/01/2005,6736,221,18,Prescot,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,66,0,0,#N/A
Kieran Cooney,D (C),Notts Co,English Football League 2,ENG,,#N/A,20/01/2005,6736,221,18,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,67,0,0,#N/A
Will Hodgson,M (C),,-,ENG,,#N/A,20/01/2005,6736,221,18,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,72,0,0,#N/A
Lino Sousa,D/WB (L),Plymouth,English Football League Championship,ENG,,#N/A,19/01/2005,6737,221,18,-,,ENG,UK & Ireland,ENG,POR,"5'9""",5,9,175.26,69,0,0,#N/A
Brandon Khela,M (C),Ross County,Scottish Premiership,SCO,,#N/A,19/01/2005,6737,221,18,Coventry,,ENG,UK & Ireland,ENG,IND,"5'9""",5,9,175.26,69,0,0,#N/A
Adebayo Fapetu,"DM, M (C)",Derby,English Football League 1,ENG,,#N/A,18/01/2005,6738,221,18,London,,ENG,UK & Ireland,ENG,NGA,"5'10""",5,10,177.8,72,0,0,#N/A
Samuel Sackey,M (C),QPR,English Football League Championship,ENG,,#N/A,18/01/2005,6738,221,18,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,72,0,0,#N/A
Will Dowling,M (C),,-,ENG,,#N/A,18/01/2005,6738,221,18,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,70,0,0,#N/A
Tommy Reid,GK,Brighton,English Premier Division,ENG,,#N/A,18/01/2005,6738,221,18,Hastings,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,67,0,0,#N/A
Jack Tierney,D (C),Everton,English Premier Division,ENG,,#N/A,17/01/2005,6739,221,18,Liverpool,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,74,0,0,#N/A
Tudor Mendel-Idowu,AM (C),RSCA Futures,Belgian Challenger Pro League,BEL,,#N/A,15/01/2005,6741,221,18,Slough,,ENG,UK & Ireland,ENG,NGA,"5'10""",5,10,177.8,67,0,0,#N/A
Drew Robinson,D (C),,-,ENG,,#N/A,15/01/2005,6741,221,18,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,70,0,0,#N/A
Zion Nditi,D (R),Aldershot,Vanarama National League,ENG,,#N/A,14/01/2005,6742,221,18,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,65,0,0,#N/A
Finn Evans,"AM (L), ST (C)",Aldershot,Vanarama National League,ENG,,#N/A,13/01/2005,6743,221,18,Winchester,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,65,0,0,#N/A
JD Costello,D (C),Middlesbrough,English Football League Championship,ENG,,#N/A,12/01/2005,6744,221,18,Hartlepool,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,74,0,0,#N/A
Leo Duru,D/WB (R),Blackburn,English Football League Championship,ENG,,#N/A,12/01/2005,6744,221,18,Manchester,,ENG,UK & Ireland,ENG,NGA,"5'10""",5,10,177.8,72,0,0,#N/A
Kitt Nelson,AM (RLC),Workington,English Northern Premier League Premier Division,ENG,,#N/A,12/01/2005,6744,221,18,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,60,0,0,#N/A
Aman Panesar,M/AM (C),,-,ENG,,#N/A,12/01/2005,6744,221,18,Bradford,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,73,0,0,#N/A
Tylah Wallace-Ming,D (R),,-,ENG,,#N/A,10/01/2005,6746,221,18,London,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,63,0,0,#N/A
Josh Powell,D (L),Nottm Forest,English Premier Division,ENG,,#N/A,09/01/2005,6747,221,18,Nottingham,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,68,0,0,#N/A
Brooklyn Dennis,ST (C),,-,ENG,,#N/A,09/01/2005,6747,221,18,Grimsby,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,71,0,0,#N/A
Luis Lacey,D/WB (L),Flint Town,JD Cymru North,WAL,,#N/A,09/01/2005,6747,221,18,Liverpool,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,71,0,0,#N/A
George Dickinson,M (C),Alfreton,Vanarama National League North,ENG,,#N/A,08/01/2005,6748,221,18,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,66,0,0,#N/A
James Leonard,D (C),,-,ENG,,#N/A,07/01/2005,6749,221,18,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,63,0,0,#N/A
Ronnie Stutter,ST (C),Chelsea,English Premier Division,ENG,,#N/A,06/01/2005,6750,221,18,London,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,63,0,0,#N/A
Ryan Huke,AM (R),Charlton,English Football League 1,ENG,,#N/A,06/01/2005,6750,221,18,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,67,0,0,#N/A
Ben Drake,D (C),Sheff Utd,English Premier Division,ENG,,#N/A,06/01/2005,6750,221,18,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,65,0,0,#N/A
Ethan Hull,M (R),Nottm Forest,English Premier Division,ENG,,#N/A,05/01/2005,6751,221,18,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,63,0,0,#N/A
Owen Cushion,M (L),Colwyn Bay,JD Cymru Premier,WAL,,#N/A,05/01/2005,6751,221,18,-,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,61,0,0,#N/A
Maxwell Gaddi,M/AM (C),,-,ENG,,#N/A,04/01/2005,6752,221,18,-,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,56,0,0,#N/A
Tom Norcott,GK,Reading,English Football League 1,ENG,,#N/A,03/01/2005,6753,221,18,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,72,0,0,#N/A
Joey Phuthi,D/WB (R),Sheffield Wednesday,English Football League Championship,ENG,,#N/A,02/01/2005,6754,221,18,-,,ENG,UK & Ireland,ENG,ZIM,"5'7""",5,7,170.18,67,0,0,#N/A
Noah Halford,D (C),Bolton,English Football League 1,ENG,,#N/A,02/01/2005,6754,221,18,Bolton,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,80,0,0,#N/A
James Collins,ST (C),Watford,English Football League Championship,ENG,,#N/A,31/12/2004,6756,222,18,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,69,0,0,#N/A
Josh Brown,D (C),,-,ENG,,#N/A,31/12/2004,6756,222,18,Birmingham,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,87,0,0,#N/A
Kain Ryan,D (C),Brighton,English Premier Division,ENG,,#N/A,31/12/2004,6756,222,18,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,75,0,0,#N/A
Joe Wynne,D (C),,-,ENG,,#N/A,31/12/2004,6756,222,18,Coventry,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,77,0,0,#N/A
Henry Hearn,ST (C),Millwall,English Football League Championship,ENG,,#N/A,31/12/2004,6756,222,18,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,74,0,0,#N/A
Charlie Hayes-Green,D (C),Bolton,English Football League 1,ENG,,#N/A,30/12/2004,6757,222,18,Liverpool,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,76,0,0,#N/A
Mikell Barnes,M (C),Aston Villa,English Premier Division,ENG,,#N/A,30/12/2004,6757,222,18,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,76,0,0,#N/A
Seth O'Neill,D (R),Ipswich,English Football League Championship,ENG,,#N/A,28/12/2004,6759,222,18,Cambridge,,JAM,Caribbean,ENG,,"5'8""",5,8,172.72,66,0,0,#N/A
Archie Harris,D (L),Bournemouth,English Premier Division,ENG,,#N/A,27/12/2004,6760,222,18,Liverpool,,ENG,UK & Ireland,ENG,WAL,"6'0""",6,0,182.88,70,0,0,#N/A
Roman Dixon,D/WB (R),Everton,English Premier Division,ENG,,#N/A,26/12/2004,6761,222,18,-,,ENG,UK & Ireland,ENG,,"5'6""",5,6,167.64,56,0,0,#N/A
Arezki Hamouchene,AM (C),Millwall,English Football League Championship,ENG,,#N/A,26/12/2004,6761,222,18,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,67,0,0,#N/A
Kyle Fanning,"D (C), DM",Hull,English Football League Championship,ENG,,#N/A,26/12/2004,6761,222,18,Leeds,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,74,0,0,#N/A
Adam Poliakov,M (C),Brentford,English Premier Division,ENG,,#N/A,26/12/2004,6761,222,18,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,68,0,0,#N/A
Harrison Smith,ST (C),Stevenage,English Football League 1,ENG,,#N/A,25/12/2004,6762,222,18,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,69,0,0,#N/A
Harrison Jones,AM (C),Sunderland,English Football League Championship,ENG,,#N/A,25/12/2004,6762,222,18,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,69,0,0,#N/A
Joseph Cunningham,D/WB (R),,-,ENG,,#N/A,22/12/2004,6765,222,18,Liverpool,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,72,0,0,#N/A
Alfie McNally,GK,Fulham,English Premier Division,ENG,,#N/A,22/12/2004,6765,222,18,London,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,78,0,0,#N/A
Ryan Chavez-Munoz,M (C),Eastleigh,Vanarama National League,ENG,,#N/A,22/12/2004,6765,222,18,-,,ENG,UK & Ireland,ENG,PER,"5'10""",5,10,177.8,69,0,0,#N/A
Jordan McNally,AM (C),,-,ENG,,#N/A,21/12/2004,6766,222,18,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,71,0,0,#N/A
Josh Robinson,D (C),Arsenal,English Premier Division,ENG,,#N/A,20/12/2004,6767,222,18,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,68,0,0,#N/A
Sonny Aljofree,D (C),Altrincham,Vanarama National League,ENG,,#N/A,19/12/2004,6768,222,18,Plymouth,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,70,0,0,#N/A
Harvey Kedwell,DM,Dag & Red,Vanarama National League,ENG,,#N/A,19/12/2004,6768,222,18,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,68,0,0,#N/A
Archie Aves,D (C),Notts Co,English Football League 2,ENG,,#N/A,19/12/2004,6768,222,18,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,71,0,0,#N/A
Michael Parker,D (C),Burnley,English Premier Division,ENG,,#N/A,18/12/2004,6769,222,18,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,76,0,0,#N/A
Marley Tavaziva,GK,Brentford,English Premier Division,ENG,,#N/A,17/12/2004,6770,222,18,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,78,0,0,#N/A
Reuell Walters,D (RC),Arsenal,English Premier Division,ENG,,#N/A,16/12/2004,6771,222,18,-,,ENG,UK & Ireland,ENG,GER,"5'9""",5,9,175.26,70,0,0,#N/A
Kieran Petrie,AM (R),QPR,English Football League Championship,ENG,,#N/A,16/12/2004,6771,222,18,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,61,0,0,#N/A
Joshua Duffus,ST (C),Brighton,English Premier Division,ENG,,#N/A,15/12/2004,6772,222,18,London,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,67,0,0,#N/A
Wes Frimpong,D (R),Bolton,English Football League 1,ENG,,#N/A,14/12/2004,6773,222,18,Manchester,,ENG,UK & Ireland,ENG,GHA,"6'1""",6,1,185.42,74,0,0,#N/A
Ben Middlemas,M/AM (C),Sunderland,English Football League Championship,ENG,,#N/A,13/12/2004,6774,222,18,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,62,0,0,#N/A
Jem Hewlett,D (C),Southampton,English Football League Championship,ENG,,#N/A,13/12/2004,6774,222,18,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,79,0,0,#N/A
Freddie Cook,D (C),Cardiff,English Football League Championship,ENG,,#N/A,12/12/2004,6775,222,18,Leicester,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,75,0,0,#N/A
Luca Barrington,AM (RL),Brighton,English Premier Division,ENG,,#N/A,12/12/2004,6775,222,18,Manchester,,ENG,UK & Ireland,ENG,SCO,"5'11""",5,11,180.34,73,0,0,#N/A
Henry Cartwright,"DM, M (C)",Leicester,English Football League Championship,ENG,,#N/A,11/12/2004,6776,222,18,Leicester,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,74,0,0,#N/A
Filozofe Mabete,D (C),Wolves,English Premier Division,ENG,,#N/A,11/12/2004,6776,222,18,Enfield,,ENG,UK & Ireland,ENG,COD,"6'2""",6,2,187.96,80,0,0,#N/A
Ethan Ennis,AM (RL),Man UFC,English Premier Division,ENG,,#N/A,11/12/2004,6776,222,18,Runcorn,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,74,0,0,#N/A
Gabriel Overton,ST (C),Peterborough,English Football League 1,ENG,,#N/A,11/12/2004,6776,222,18,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,65,0,0,#N/A
Millar Matthews-Lewis,ST (C),Farnborough,Vanarama National League South,ENG,,#N/A,10/12/2004,6777,222,18,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,73,0,0,#N/A
Cian Flannery,D (LC),Sheffield Wednesday,English Football League Championship,ENG,,#N/A,10/12/2004,6777,222,18,-,,ENG,UK & Ireland,ENG,IRL,"6'1""",6,1,185.42,74,0,0,#N/A
Joshua McKay,D/WB (R),Barnsley,English Football League 1,ENG,,#N/A,09/12/2004,6778,222,18,Barnsley,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,66,0,0,#N/A
Filip Lissah,D (C),Swansea,English Football League Championship,ENG,,#N/A,08/12/2004,6779,222,18,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,71,0,0,#N/A
Tommy Simkin,GK,Forest Green,English Football League 2,ENG,,#N/A,08/12/2004,6779,222,18,-,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,78,0,0,#N/A
Kyle McAdam,D (LC),Nottm Forest,English Premier Division,ENG,,#N/A,07/12/2004,6780,222,18,Leicester,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,75,0,0,#N/A
Max Sutton,D (L),,-,ENG,,#N/A,07/12/2004,6780,222,18,Manchester,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,72,0,0,#N/A
Harry Hurst,D/WB (L),Aldershot,Vanarama National League,ENG,,#N/A,06/12/2004,6781,222,18,Peterborough,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,71,0,0,#N/A
Charlie Hickingbottom,D (C),Barnsley,English Football League 1,ENG,,#N/A,06/12/2004,6781,222,18,Derby,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,73,0,0,#N/A
Finley Barbrook,"DM, M (C)",Ipswich,English Football League Championship,ENG,,#N/A,04/12/2004,6783,222,18,Gorleston on Sea,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,68,0,0,#N/A
Harry Barbrook,D (L),Ipswich,English Football League Championship,ENG,,#N/A,04/12/2004,6783,222,18,Gorleston on Sea,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,70,0,0,#N/A
Mackenzie Maltby,D (C),Sheffield Wednesday,English Football League Championship,ENG,,#N/A,04/12/2004,6783,222,18,Chesterfield,,ENG,UK & Ireland,ENG,SCO,"6'0""",6,0,182.88,73,0,0,#N/A
James Wright,GK,Aston Villa,English Premier Division,ENG,,#N/A,02/12/2004,6785,222,18,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,78,0,0,#N/A
Ash McCarthy,AM (L),,-,ENG,,#N/A,02/12/2004,6785,222,18,Stockton-on-Tees,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,64,0,0,#N/A
Todd Pearson,D (C),,-,ENG,,#N/A,01/12/2004,6786,223,18,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,72,0,0,#N/A
Kyrell Wilson,"AM (R), ST (C)",Swansea,English Football League Championship,ENG,,#N/A,01/12/2004,6786,223,18,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,68,0,0,#N/A
Max Howells,AM (R),Middlesbrough,English Football League Championship,ENG,,#N/A,01/12/2004,6786,223,18,Stockton-on-Tees,,ENG,UK & Ireland,ENG,SWE,"5'8""",5,8,172.72,64,0,0,#N/A
Antonio Clements,ST (C),,-,ENG,,#N/A,30/11/2004,6787,223,18,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,67,0,0,#N/A
Archie Kieran,M/AM (C),,-,ENG,,#N/A,30/11/2004,6787,223,18,Romford,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,65,0,0,#N/A
Kobei Moore,ST (C),Aston Villa,English Premier Division,ENG,,#N/A,30/11/2004,6787,223,18,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,63,0,0,#N/A
Jahziah Linton,D (L),Tottenham,English Premier Division,ENG,,#N/A,30/11/2004,6787,223,18,London,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,67,0,0,#N/A
Luke Woolston,"DM, M (C)",Middlesbrough,English Football League Championship,ENG,,#N/A,30/11/2004,6787,223,18,Hartlepool,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,69,0,0,#N/A
Henry Timi Davies,ST (C),Arsenal,English Premier Division,ENG,,#N/A,27/11/2004,6790,223,18,-,,ENG,UK & Ireland,ENG,NGA,"6'1""",6,1,185.42,74,0,0,#N/A
Jacob Pinnington,D (R),Luton,English Premier Division,ENG,,#N/A,27/11/2004,6790,223,18,Harpenden,,ENG,UK & Ireland,ENG,,"5'3""",5,3,160.02,54,0,0,#N/A
Emmanuel Harvest,DM,Leyton Orient,English Football League 1,ENG,,#N/A,27/11/2004,6790,223,18,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,76,0,0,#N/A
Cameron Kyle,D (C),,-,ENG,,#N/A,26/11/2004,6791,223,18,Bury,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,72,0,0,#N/A
Will Dickson,"AM (R), ST (C)",Man City,English Premier Division,ENG,,#N/A,25/11/2004,6792,223,18,Liverpool,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,73,0,0,#N/A
Ethan Goulding,"DM, M (C)",,-,ENG,,#N/A,24/11/2004,6793,223,18,Watford,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,75,0,0,#N/A
Alex Anaman,ST (C),,-,ENG,,#N/A,24/11/2004,6793,223,18,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,76,0,0,#N/A
Kaleel Green,ST (C),Colchester,English Football League 2,ENG,,#N/A,24/11/2004,6793,223,18,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,83,0,0,#N/A
Todd Alcock,"DM, M (C)",Aston Villa,English Premier Division,ENG,,#N/A,23/11/2004,6794,223,18,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,69,0,0,#N/A
Jack Lewis,M (C),Basford,English Northern Premier League Premier Division,ENG,,#N/A,18/11/2004,6799,223,18,Blackpool,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,65,0,0,#N/A
Lewys McCafferty,D (C),,-,ENG,,#N/A,18/11/2004,6799,223,18,Coventry,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,73,0,0,#N/A
Amani Richards,ST (C),Leicester,English Football League Championship,ENG,,#N/A,16/11/2004,6801,223,18,London,,ENG,UK & Ireland,ENG,JAM,"5'9""",5,9,175.26,65,0,0,#N/A
Aaron Atkinson,M (C),Barnsley,English Football League 1,ENG,,#N/A,15/11/2004,6802,223,18,Chadderton,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,78,0,0,#N/A
Finn Flanagan,M (C),Mansfield,English Football League 2,ENG,,#N/A,15/11/2004,6802,223,18,-,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,81,0,0,#N/A
Troy Smikle-James,ST (C),,-,ENG,,#N/A,15/11/2004,6802,223,18,Birmingham,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,63,0,0,#N/A
Oscar Halls,D (C),Plymouth,English Football League Championship,ENG,,#N/A,15/11/2004,6802,223,18,Watford,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,79,0,0,#N/A
Engwau Oduka,"D (C), DM, M (C)",,-,ENG,,#N/A,13/11/2004,6804,223,18,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,80,0,0,#N/A
Adam Caddick,"DM, M (C)",Blackburn,English Football League Championship,ENG,,#N/A,12/11/2004,6805,223,18,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,76,0,0,#N/A
Steven Bessent,GK,,-,ENG,,#N/A,12/11/2004,6805,223,18,-,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,72,0,0,#N/A
Tafadzwa Tapudzai,M (C),,-,ENG,,#N/A,11/11/2004,6806,223,18,Bulawayo,,ZIM,Southern Africa,ENG,ZIM,"5'9""",5,9,175.26,78,0,0,#N/A
Harry Wright,D (L),Fleetwood,English Football League 1,ENG,,#N/A,11/11/2004,6806,223,18,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,68,0,0,#N/A
Regan Clayton,D/WB (L),West Ham,English Premier Division,ENG,,#N/A,11/11/2004,6806,223,18,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,64,0,0,#N/A
McKenzie Mason,DM,,-,ENG,,#N/A,10/11/2004,6807,223,18,-,,ENG,UK & Ireland,ENG,,"6'4""",6,4,193.04,82,0,0,#N/A
Samim Sarvari,M (C),,-,ENG,,#N/A,10/11/2004,6807,223,18,Birmingham,,ENG,UK & Ireland,ENG,AFG,"5'10""",5,10,177.8,77,0,0,#N/A
Charlie Manners,ST (C),,-,ENG,,#N/A,10/11/2004,6807,223,18,Solihull,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,72,0,0,#N/A
Nana Owusu-Gyimah,D/WB (R),Shrewsbury,English Football League 1,ENG,,#N/A,09/11/2004,6808,223,18,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,71,0,0,#N/A
Ken Aboh,ST (C),Norwich,English Football League Championship,ENG,,#N/A,09/11/2004,6808,223,18,Bedford,,ENG,UK & Ireland,ENG,USA,"5'9""",5,9,175.26,69,0,0,#N/A
James Birmingham,D (L),,-,ENG,,#N/A,08/11/2004,6809,223,18,Wigan,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,57,0,0,#N/A
Flynn Bolton,M (C),Aldershot,Vanarama National League,ENG,,#N/A,08/11/2004,6809,223,18,Walton-on-Thames,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,78,0,0,#N/A
Harvey Araujo,D (L),Fulham,English Premier Division,ENG,,#N/A,07/11/2004,6810,223,18,-,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,75,0,0,#N/A
Troy Murray,M (C),,-,ENG,,#N/A,06/11/2004,6811,223,18,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,68,0,0,#N/A
Oliver Bainbridge,D/WB (L),Sunderland,English Football League Championship,ENG,,#N/A,05/11/2004,6812,223,18,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,72,0,0,#N/A
Filbert Owusu-Antwi,ST (C),,-,ENG,,#N/A,05/11/2004,6812,223,18,-,,ENG,UK & Ireland,ENG,GHA,"5'7""",5,7,170.18,72,0,0,#N/A
Vonnte Williams,D/WB (L),Crystal Palace,English Premier Division,ENG,,#N/A,04/11/2004,6813,223,18,-,,ENG,UK & Ireland,ENG,,"5'9""",5,9,175.26,68,0,0,#N/A
Raees Bangura-Williams,M (C),Millwall,English Football League Championship,ENG,,#N/A,04/11/2004,6813,223,18,-,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,73,0,0,#N/A
Oliver Lynch,ST (C),Luton,English Premier Division,ENG,,#N/A,02/11/2004,6815,223,18,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,67,0,0,#N/A
Oliver Khinda,"D (R), M (C)",Sutton,English Football League 2,ENG,,#N/A,01/11/2004,6816,224,18,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,70,0,0,#N/A
James Morley,GK,,-,ENG,,#N/A,01/11/2004,6816,224,18,Plymouth,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,73,0,0,#N/A
Jack Nadin,"AM (C), ST (C)",Nottm Forest,English Premier Division,ENG,,#N/A,31/10/2004,6817,224,18,Chesterfield,,ENG,UK & Ireland,ENG,,"5'11""",5,11,180.34,69,0,0,#N/A
Niall Rushton,AM (R),,-,ENG,,#N/A,30/10/2004,6818,224,18,-,,ENG,UK & Ireland,ENG,,"5'8""",5,8,172.72,69,0,0,#N/A
Braeden Noon-Brandy,ST (C),,-,ENG,,#N/A,29/10/2004,6819,224,18,Nottingham,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,77,0,0,#N/A
Kaelan Casey,D (C),West Ham,English Premier Division,ENG,,#N/A,28/10/2004,6820,224,18,-,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,79,0,0,#N/A
Isaac Heath,AM (L),Everton,English Premier Division,ENG,,#N/A,28/10/2004,6820,224,18,Leeds,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,54,0,0,#N/A
James Carr,D/WB (R),,-,ENG,,#N/A,27/10/2004,6821,224,18,Hull,,ENG,UK & Ireland,ENG,,"6'0""",6,0,182.88,75,0,0,#N/A
George Murray-Jones,GK,Man City,English Premier Division,ENG,,#N/A,27/10/2004,6821,224,18,London,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,76,0,0,#N/A
Charlie Olsen,D (RC),Blackburn,English Football League Championship,ENG,,#N/A,26/10/2004,6822,224,18,Liverpool,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,80,0,0,#N/A
Owen Scattergood,ST (C),,-,ENG,,#N/A,26/10/2004,6822,224,18,Ilkeston,,ENG,UK & Ireland,ENG,,"6'1""",6,1,185.42,78,0,0,#N/A
Matthew Whittingham,"M (C), AM (L)",Wolves,English Premier Division,ENG,,#N/A,24/10/2004,6824,224,18,St. Helens,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,71,0,0,#N/A
Junior Dixon,ST (C),Birmingham,English Football League Championship,ENG,,#N/A,24/10/2004,6824,224,18,-,,ENG,UK & Ireland,ENG,,"5'10""",5,10,177.8,81,0,0,#N/A
Reuben Perry,GK,,-,ENG,,#N/A,23/10/2004,6825,224,18,-,,ENG,UK & Ireland,ENG,,"6'3""",6,3,190.5,85,0,0,#N/A
Michael Aileman,ST (C),,-,ENG,,#N/A,23/10/2004,6825,224,18,-,,ENG,UK & Ireland,ENG,,"6'2""",6,2,187.96,79,0,0,#N/A
Amari Davis-Stephenson,AM (R),Oxford United,English Football League 1,ENG,,#N/A,22/10/2004,6826,224,18,-,,ENG,UK & Ireland,ENG,,"5'7""",5,7,170.18,60,0,0,#N/A
